"Sponsor Name","Town/City","Additional Locations","Sponsor Type","Status","Route","Immigration Compliance"
"Wellingborough School","Wellingborough",,"Independent school","Student Sponsor","Child Student",
"Wellingborough School","Wellingborough",,"Independent school","Student Sponsor","Student",
"Wellington College","Crowthorne",,"Independent school","Student Sponsor","Child Student",
"Wellington College","Crowthorne",,"Independent school","Student Sponsor","Student",
"Wellington School","Wellington",,"Independent school","Student Sponsor","Child Student",
"Wellington School","Wellington",,"Independent school","Student Sponsor","Student",
"Wells Cathedral School","Wells",,"Independent school","Student Sponsor","Child Student",
"Wells Cathedral School","Wells",,"Independent school","Student Sponsor","Student",
"West Buckland School","Barnstaple",,"Independent school","Student Sponsor","Child Student",
"West Buckland School","Barnstaple",,"Independent school","Student Sponsor","Student",
"West Dean College - The Edward James Foundation Ltd","CHICHESTER",,"Private provider","Student Sponsor - Track Record","Student",
"West Herts College","Watford",,"Publicly funded college","Student Sponsor - Track Record","Student",
"West Hill Park School","Fareham",,"Independent school","Student Sponsor","Child Student",
"West Hill Park School","Fareham",,"Independent school","Student Sponsor","Student",
"WESTBOURNE HOUSE SCHOOL","CHICHESTER",,"Independent school","Student Sponsor","Child Student",
"Westbourne School Trust Limited","Sheffield",,"Independent school","Student Sponsor","Child Student",
"Westbourne School","Penarth",,"Independent school","Student Sponsor","Child Student",
"Westbourne School","Penarth",,"Independent school","Student Sponsor","Student",
"Westfield House","Cambridge",,"Private provider","Student Sponsor","Student",
"Westfield School","Newcastle upon Tyne",,"Independent school","Student Sponsor","Child Student",
"Westfield School","Newcastle upon Tyne",,"Independent school","Student Sponsor","Student",
"Westminster Abbey Choir School","London",,"Independent school","Probationary Sponsor","Child Student",
"WESTMINSTER SCHOOL","London",,"Independent school","Student Sponsor","Child Student",
"WESTMINSTER SCHOOL","London",,"Independent school","Student Sponsor","Student",
"Weston College","Weston super Mare",,"Publicly funded college","Student Sponsor","Student",
"Weymouth College","Weymouth",,"Publicly funded college","Student Sponsor","Student",
"Whitgift School","South Croydon",,"Independent school","Student Sponsor","Child Student",
"Whitgift School","South Croydon",,"Independent school","Student Sponsor","Student",
"Willington School Foundation Ltd","Wimbledon",,"Independent school","Student Sponsor","Child Student",
"Wilmslow Preparatory School","WILMSLOW",,"Independent school","Probationary Sponsor","Child Student",
"Wiltshire College & University Centre","Salisbury",,"Publicly funded college","Student Sponsor - Track Record","Student",
"Wimbledon High School","London",,"Independent school","Student Sponsor","Child Student",
"Wimbledon High School","London",,"Independent school","Student Sponsor","Student",
"Winchester College","Winchester",,"Independent school","Student Sponsor","Child Student",
"Winchester College","Winchester",,"Independent school","Student Sponsor","Student",
"Windermere Educational Trust Limited","WINDERMERE",,"Independent school","Student Sponsor","Child Student",
"Windermere Educational Trust Limited","WINDERMERE",,"Independent school","Student Sponsor","Student",
"Windlesham House School t/a (The Malden Trust Ltd)","Pulborough",,"Independent school","Student Sponsor","Child Student",
"Wisbech Grammar School Ltd","Wisbech",,"Independent school","Student Sponsor","Child Student",
"Wisbech Grammar School Ltd","Wisbech",,"Independent school","Student Sponsor","Student",
"Wishford Schools Limited","Corsham",,"Independent school","Student Sponsor","Child Student",
"Wishford Schools Limited","Corsham",,"Independent school","Student Sponsor","Student",
"Witham Hall School Trust","Bourne",,"Independent school","Probationary Sponsor","Child Student",
"Withington Girls' School","Manchester",,"Independent school","Student Sponsor","Child Student",
"Withington Girls' School","Manchester",,"Independent school","Student Sponsor","Student",
"Woldingham School","Caterham",,"Independent school","Student Sponsor","Child Student",
"Woldingham School","Caterham",,"Independent school","Student Sponsor","Student",
"Woodard Schools (Nottinghamshire) Limited","Worksop",,"Independent school","Student Sponsor","Child Student",
"Woodard Schools (Nottinghamshire) Limited","Worksop",,"Independent school","Student Sponsor","Student",
"Woodbridge School","Woodbridge",,"Independent school","Student Sponsor","Child Student",
"Woodbridge School","Woodbridge",,"Independent school","Student Sponsor","Student",
"Woodcote House School","Windlelsham",,"Independent school","Student Sponsor","Child Student",
"Woodhouse Grove School","Bradford",,"Independent school","Student Sponsor","Child Student",
"Woodhouse Grove School","Bradford",,"Independent school","Student Sponsor","Student",
"Worth School","Turners Hill",,"Independent school","Student Sponsor","Child Student",
"Worth School","Turners Hill",,"Independent school","Student Sponsor","Student",
"WQE and Regent college group","Leicester",,"Publicly funded college","Student Sponsor","Child Student",
"WQE and Regent college group","Leicester",,"Publicly funded college","Student Sponsor","Student",
"Wrekin Old Hall Trust Ltd","Telford",,"Independent school","Student Sponsor","Child Student",
"Wrekin Old Hall Trust Ltd","Telford",,"Independent school","Student Sponsor","Student",
"Wrexham University","Wrexham",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Writtle University College","Chelmsford",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Wroxton College of Fairleigh Dickinson University","Banbury",,"Overseas Higher Education Institution","Student Sponsor","Student",
"Wychwood School (Oxford) Limited","Oxford",,"Independent school","Student Sponsor","Child Student",
"Wychwood School (Oxford) Limited","Oxford",,"Independent school","Student Sponsor","Student",
"WYCLIFFE COLLEGE","STONEHOUSE",,"Independent school","Student Sponsor","Child Student",
"WYCLIFFE COLLEGE","STONEHOUSE",,"Independent school","Student Sponsor","Student",
"Wyke Sixth Form College","Hull",,"Publicly funded college","Student Sponsor","Student",
"Yeovil College","Yeovil",,"Publicly funded college","Student Sponsor - Track Record","Student",
"York College","York",,"Publicly funded college","Student Sponsor - Track Record","Student",
"York St John University","YORK",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
